subject,relation,object
阳溪,定位,在腕背横纹桡侧，手拇指向上翘时，当拇短伸肌腱与拇长伸肌腱之间的凹陷中。
阳溪,解剖,当拇短、长伸肌腱之间；有头静脉、桡动脉的腕背支；布有桡神经浅支。
阳溪,主治,头痛，目赤肿痛，耳聋，耳鸣，齿痛，咽喉肿痛，手腕痛。
阳溪,配伍,配合谷治头痛。
阳溪,刺灸法,直刺0.5～0.8寸。
阳溪,附注,手阳明经所行为“经”。
偏历,拼音,Piānlì
偏历,定位,屈肘，在前臂背面桡侧，当阳溪与曲池连线上，腕横纹上3寸处。
偏历,解剖,在桡骨远端，桡侧腕伸肌腱与拇长展肌腱之间；有头静脉；掌侧为前臂外侧皮神经和桡神经浅支，背侧为前臂背侧皮神经和前臂骨间背侧神经。
偏历,主治,目赤，耳鸣，鼻衄，喉痛，手臂酸痛，水肿。
偏历,配伍,配曲池治手臂疼痛。
偏历,刺灸法,直刺或斜刺0.5～0.8寸。
偏历,附注,手阳明经络穴。
温溜,拼音,Wēnliū
温溜,定位,屈肘，在前臂背面桡侧，当阳溪与曲池连线上，腕横纹上5寸处。
温溜,解剖,在桡侧腕伸肌肌腹与拇长展肌之间；有桡动脉分支及头静脉；布有前臂背侧皮神经与桡神经深支。
温溜,主治,头痛，面肿，咽喉肿痛，疔疮，肩背酸痛，肠鸣腹痛。
温溜,配伍,配合谷治头痛。
温溜,刺灸法,直刺0.5～1寸。
温溜,附注,手阳明经郄穴。
下廉,拼音,Xiàlián
下廉,定位,在前臂背面桡侧，当阳溪与曲池连线上，肘横纹下4寸处。
下廉,解剖,在桡骨的桡侧，桡侧有腕伸短肌及腕伸长肌，深层有旋后肌；有桡动脉分支；布有前臂背侧皮神经及桡神经深支。
下廉,主治,头痛，眩晕，目痛，肘臂痛，腹胀，腹痛。
下廉,配伍,"配足三里治腹胀,腹痛。"
下廉,刺灸法,直刺0.5～1寸。
上廉,拼音,Shànglián
上廉,定位,在前臂背面桡侧，当阳溪与曲池连线上，肘横纹下３寸处。
上廉,解剖,在桡侧腕伸肌肌腹与拇长展肌之间；有桡动脉分支及头静脉；布有前臂背侧皮神经与桡神经深支。
上廉,主治,头痛，肩膊酸痛，半身不遂，手臂麻木，肠鸣腹痛。
上廉,配伍,配曲池治手臂麻木。
上廉,刺灸法,直刺0.5～1寸。
手三里,拼音,Shǒusānlǐ
手三里,定位,在前臂背面桡侧，当阳溪与曲池连线上，肘横纹下２寸处。
手三里,解剖,肌肉、神经同下廉穴，血管为桡返动脉的分支。
手三里,主治,齿痛颊肿，上肢不遂，腹痛，腹泻。
手三里,配伍,配曲池治上肢不遂。
手三里,刺灸法,直刺0.8～1.2寸。
曲池,拼音,Qūchí
曲池,定位,在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点。
曲池,解剖,"桡侧腕长伸肌起始部，肱桡肌的挠侧；有桡返动脉的分支；布有前臂背侧皮神经,内侧深层为桡神经本干。"
曲池,主治,咽喉肿痛，齿痛，目赤痛，瘰疬，瘾疹，热病上肢不遂，手臂肿痛，腹痛吐泻，高血压，癫狂。
曲池,配伍,"配血海,足三里治瘾疹；配手三里治上肢不遂；配太冲、大椎治高血压。"
曲池,刺灸法,直刺1～1.5寸。
曲池,附注,（1）手阳明经所入为“合”。（2）参考资料：据报道，在犬阑尾壁内直接注射B-链球菌和金黄色葡萄球菌的混合菌液以引起实验性阑尾炎，用强刺激手法针刺“曲池”和“阑尾”穴，证明对实验性阑尾炎有肯定的治疗作用。
肘髎,拼音,Zhǒuliáo
肘髎,定位,在臂外侧，屈肘，曲池上方1寸，当肱骨边缘处。
肘髎,解剖,在桡骨外上髁上缘肱肌起始部，肱三头肌外缘；有桡侧副动脉；布有前臂背侧皮神经及桡神经。
肘髎,主治,肘臂部痪痛，麻木，挛急。
肘髎,配伍,配曲池治肘臂疾病。
肘髎,刺灸法,直刺0.5～1寸。
手五里,拼音,Shǒuwǔlǐ
手五里,定位,在臂外侧，当曲池与肩髃连线上，曲池上3寸处。
手五里,解剖,在肱骨桡侧，为肱桡肌起点，外侧为肱三头肌前缘；稍深为桡侧副动脉；布有前臂背侧皮神经，深层内侧为桡神经。
手五里,主治,肘臂挛痛，瘰疬。
手五里,配伍,配曲池治肘臂挛痛。
手五里,刺灸法,避开动脉，直刺0.5～1寸。
臂臑,拼音,Bìnào
臂臑,定位,在臂外侧，三角肌止点处，当曲池与肩髃连线上，曲池上七寸处。
臂臑,解剖,在肱骨桡侧，三角肌下端，肱三头肌外侧头的前缘；有旋肱后动脉的分支及肱深动脉；布有前臂背侧皮神经，深层有桡神经本干。
臂臑,主治,肩臂痛，颈项拘挛，瘰疬，目疾。
臂臑,配伍,配光明治目疾。
臂臑,刺灸法,直刺或向上斜刺0.8～1.5寸。
肩髃,拼音,Jiānyú
肩髃,定位,在臂外侧，三角肌上，臂外展，或向前平伸时，当肩峰前下方向凹陷处。
肩髃,解剖,有旋肱后动、静脉；布有锁骨上神经，腋神经。
肩髃,主治,肩臂挛痛不遂，瘾疹，瘰病。
肩髃,配伍,配肩髎治肩臂疼痛。
肩髃,刺灸法,直刺或向下斜刺0.8～1.5寸。
肩髃,附注,手阳明经与阳跷脉交会穴。
巨骨,定位,在肩上部，当锁骨肩峰端与肩胛冈之间凹陷处。
巨骨,解剖,在斜方肌与冈上肌中;深层有肩胛上动、静脉；布有锁骨上神经分支，副神经分支，深层有肩胛上神经。
巨骨,主治,肩臂挛痛不遂，瘰疬，瘿气。
巨骨,配伍,配肩髃，肩髎治肩痛。
巨骨,刺灸法,直刺，微斜向外下方，进针0.5～1寸。
巨骨,附注,手阳明经与阳跷脉交会穴。
天鼎,拼音,Tiāndǐng
天鼎,定位,在颈外侧部，胸锁乳突肌后缘，当结喉旁，扶突与缺盆连线中点。
天鼎,解剖,在胸锁乳突肌下部后缘，浅层为颈阔肌，深层为中斜角肌起点；有颈外浅静脉;为副神经、颈皮神经在胸锁乳突肌后缘穿出处，深层为膈神经的起点。
天鼎,主治,暴喑气梗，咽喉肿痛，瘰疬，瘿气。
天鼎,配伍,配少商治咽喉肿痛。配合谷治瘿气。
天鼎,刺灸法,直刺0.5～0.8寸。
扶突,拼音,Fútū
扶突,定位,在颈外侧部，结喉旁，当胸锁乳突肌前、后缘之间。
扶突,解剖,在胸锁乳突肌胸骨头间颈阔肌中，深层为肩胛提肌起始点；深层内侧有颈升动脉；布有耳大神经，颈皮神经，枕小神经及副神经。
扶突,主治,咳嗽，气喘，咽喉肿痛，暴喑，瘰疬，瘿气。
扶突,配伍,配合谷治瘿气。
扶突,刺灸法,直刺0.5～0.8寸。
口禾髎,拼音,KǒuHéLiáo
口禾髎,定位,在上唇部，鼻孔外缘直下，平水沟穴。
口禾髎,解剖,在上颌骨犬齿窝部，上唇方肌止端；有面动、静脉的上唇支；布有面神经、三叉神经第二支下支与眶下神经的吻合丛。
口禾髎,主治,"鼻塞，鼽衄,口歪，口噤。"
口禾髎,刺灸法,直刺或斜刺0.3～0.5寸。
迎香,拼音,Yíngxiāng
迎香,定位,在鼻翼外缘中点旁，当鼻唇沟中间。
迎香,解剖,在上唇方肌中，深部为梨状孔的边缘;有面动、静脉及眶下动、静脉分支；布有面神经与眶下神经的吻合丛。
迎香,主治,鼻塞，鼽衄，口歪，面痒，胆道蛔虫症。
迎香,刺灸法,斜刺或平刺0.3～0.5寸。
迎香,附注,（1）手、足阳明经交会穴。（2）《外台》：不宜灸。
承泣,拼音,Chéngqì
承泣,定位,在面部，瞳孔直下，当眼球与眶下缘之间。
承泣,解剖,在眶下缘上方，眼轮匝肌中，深层眶内有眼球下直肌，下斜肌；有眶下动、静脉分支，眼动、静脉的分支；布有眶下神经分支及动眼神经下支的肌支，面神经分支。
承泣,主治,目赤肿痛，流泪，夜盲，眼睑（目闰）动，口眼歪斜。
承泣,配伍,"配太阳治目赫肿痛,配阳白治口眼歪斜。"
承泣,刺灸法,以左手拇指向上轻推眼球，紧靠眶缘缓慢直刺0.5～1.5寸，不宜提插，以防刺破血管引起血肿。
承泣,附注,足阳明经、阳跷、任脉交会穴。
四白,拼音,Sìbái
四白,定位,在面部，瞳孔直下，当眶下孔凹陷处。
四白,解剖,在眶下孔处，当眼轮匝肌和上唇方肌之间；有面动、静脉分支，眶下动、静脉有面神经分支，当眶下神经处。
四白,主治,"目赤痛痒，目翳,眼睑（目闰）动，口眼歪斜，头痛眩晕。"
四白,配伍,"配阳白,地仓,颊车,合谷治口眼歪斜;配攒竹治眼睑（目闰）动。"
四白,刺灸法,直刺或斜刺0.3～0.5寸不可深刺。
巨髎,拼音,Jù1iáo
巨髎,定位,在面部，瞳孔直下，平鼻翼下缘处，当鼻唇沟外侧。
巨髎,解剖,浅层为上唇方肌，深层为犬齿肌；有面动、静脉及眶下动、静脉；布有面神经及眶下神经的分支。
巨髎,主治,口眼歪斜，眼睑（目闰）动，鼻衄，齿痛，唇颊肿。
巨髎,配伍,"配合谷治齿痛；配地仓,颊车治口歪。"
巨髎,刺灸法,斜刺或平刺0.3～0.5寸。
巨髎,附注,足阳明胃经与阳跷脉交会穴。
地仓,拼音,Dìcāng
地仓,定位,在面部，口角外侧，上直对瞳孔。
地仓,解剖,在口轮匝肌中，深层为颊肌;有面动、静脉；布有面神经和眶下神经分支，深层为颊肌神经的末支。
地仓,主治,口歪，流涎，眼睑（目闰）动。
地仓,配伍,配颊车、合谷、治口歪、流涎。
地仓,刺灸法,斜刺或平刺0.5～0.8寸。
地仓,附注,手足阳明经，阳跷脉交会穴。
大迎,拼音,Dàyíng
大迎,定位,在下颌角前方，咬肌附着部前缘，当面动脉搏动处。
大迎,解剖,在咬肌附着部前缘;前方有面动、静脉；布有面神经及颊神经。
大迎,主治,口歪，口噤，颊肿，齿痛。
大迎,配伍,配颊车治齿痛。
大迎,刺灸法,避开动脉，斜刺或平刺0.3～0.5寸。
颊车,拼音,Jiáchē
颊车,定位,在面颊部，下颌角前上方约１横指（中指），当咀嚼时咬肌隆起，按之凹陷处。
颊车,解剖,在下颌角前方，有咬肌；有咬肌动、静脉;布有耳大神经，面神经及咬肌神经。
颊车,主治,口歪，齿痛，颊肿，口噤不语。
颊车,配伍,配地仓治口眼歪斜。
颊车,刺灸法,直刺0.3～0.5寸，平刺0.5～1寸。
下关,拼音,Xiàguān
下关,定位,在面部耳前方，当颧弓与下颌切迹所形成的凹陷中。
下关,解剖,当颧弓下缘，皮下有腮腺，为咬肌起始部；有面横动、静脉，最深层为上颌动、静脉；正当面神经颧眶支及耳颞神经分支，最深层为下颌神经。
下关,主治,耳聋，耳鸣，聤耳，齿痛，口噤，口眼歪斜。
下关,配伍,配翳风治耳疾。
下关,刺灸法,直刺0.5～1寸。
下关,附注,足阳明、足少阳经交会穴。
头维,拼音,Tóuwéi
头维,定位,在头侧部，当额角发际上0.5寸，头正中线旁4.5寸。
头维,解剖,在颞肌上缘帽状腱膜中；有颞浅动、静脉的额支；布有耳额神经的分支及面神经额颖支。
头维,主治,"头痛，目眩，口痛，流泪,眼睑（目闰）动。"
头维,配伍,配合谷治头痛；配太冲治目眩。
头维,刺灸法,平刺0.5～1寸。
头维,附注,（1）足阳明、足少阳经与阳维脉交会穴。（2）《甲乙》禁不可灸。
人迎,拼音,Rényíng
人迎,定位,在颈部，喉结旁，当胸锁乳突肌的前缘，颈总动脉搏动处。
人迎,解剖,有颈阔肌，在胸锁乳突肌前缘与甲状软骨接触部；有甲状腺上动脉；当颈内、外动脉分歧处，有颈前浅静脉，外为颈内静脉；布有颈皮神经，面神经颈支，深层颈动脉球，最深层为交感神经干，外侧有舌下神经降支及迷走神经。
人迎,主治,咽喉肿痛，气喘，瘰疬，瘿气，高血压。
人迎,配伍,配大椎、太冲治高血压。
人迎,刺灸法,避开颈总动脉，直刺0.3～0.8寸。
人迎,附注,（1）足阳明、足少阳经交会穴。（2）《甲乙》：禁不可灸。
水突Shǔitū,定位,在颈部，胸锁乳突肌的前缘，当人迎与气舍连线的中点。
水突Shǔitū,解剖,有颈阔肌，在甲状软骨外侧，胸锁乳突肌与肩胛舌骨肌上腹的交叉点；外侧为颈总动脉；布有颈皮神经，深层为交感神经发出的心上神经及交感干。
水突Shǔitū,主治,咽喉肿痛，咳嗽，气喘。
水突Shǔitū,配伍,配天突治咳嗽、气喘。
水突Shǔitū,刺灸法,直刺0.3～0.8寸。
气舍,拼音,Qìshě
气舍,定位,在颈部，当锁骨内侧端的上缘，胸锁乳突肌的胸骨头与锁骨头之间。
气舍,解剖,有颈阔肌，胸锁乳突肌起始部；有颈前浅静脉，深部为颈总动脉；布有锁骨上神经前支，舌下神经的分支。
气舍,主治,"咽喉肿病，气喘，呃逆，瘿瘤,瘰疬，颈项强。"
气舍,配伍,配水突治瘿瘤。
气舍,刺灸法,直刺0.3～0.5寸。
气舍,附注,本经气舍至乳根诸穴，深部有大动脉及肺、肝等重要脏器。不可深刺。
缺盆,拼音,Qūepén
缺盆,定位,在锁骨上窝中央，距前正中线4寸。
缺盆,解剖,在锁骨上窝之中点，有颈阔肌，肩胛舌骨肌；上方有颈横动脉；布有锁骨上神经中支，深层正当肩丛的锁骨上部。
缺盆,主治,咳嗽，气喘，咽喉肿痛，缺盆中痛，瘰疬。
缺盆,配伍,配肺俞治咳嗽。
缺盆,刺灸法,直刺或斜刺0.3～0.5寸。
缺盆,附注,《图翼》：孕妇禁针。
气户,拼音,Qìhù
气户,定位,在胸部，当锁骨中点下缘，距前正中线4寸。
气户,解剖,在锁骨下方，胸大肌起始部，深层上方的锁骨下肌；有胸肩峰动、静脉分支，外上方为锁骨下静脉；为锁骨上神经，胸前神经分支分布处。
气户,主治,咳嗽，气喘，呃逆，胸胁支满，胸痛。
气户,配伍,配肺俞治咳喘。
气户,刺灸法,斜刺或平刺0.5～0.8寸。
库房,拼音,Kùfáng
库房,定位,在胸部，当第１肋间隙，距前正中线4寸。
库房,解剖,在第一肋间隙有胸大肌、胸小肌，深层为肋间内、外肌，有胸肩峰动、静减及胸外侧动、静脉分支；布有胸前神经分支。
库房,主治,咳嗽，气喘，咳唾脓血，胸肋胀痛。
库房,配伍,配屋翳治胸肋胀痛。
库房,刺灸法,斜刺或平刺0.5～0.8寸。
屋翳,拼音,Wūyì
屋翳,定位,在胸部，当第２肋间隙，距前正中线4寸。
屋翳,解剖,在第二肋间隙，有胸大肌，胸小肌，深层为肋间内外肌；有胸肩峰动、静脉分支；布有胸前神经分支。
屋翳,主治,咳嗽，气喘，咳唾脓血，胸肋胀痛，乳痈。
屋翳,配伍,配天宗治乳痈。
屋翳,刺灸法,斜刺或平刺0.5～0.8寸。
膺窗,拼音,Yìngchuāng
膺窗,定位,在胸部，当第３肋间隙，距前正中线4寸。
膺窗,解剖,第三肋间隙，有胸大肌，深层为肋间内、外肌；有胸外侧动、静脉；布有胸前神经分支。
膺窗,主治,咳嗽，气喘，胸肋胀痛，乳痈。
膺窗,配伍,配屋翳治乳痈。
膺窗,刺灸法,斜刺或平刺0.5～0.8寸。
乳中,拼音,Rǔzhōng
乳中,定位,在胸部，当第４肋间隙，乳头中央，距前正中线４寸。
乳中,附注,本穴不针不灸，只作胸腹部腧穴的定位标志。
乳根,拼音,Rǔgēn
乳根,定位,在胸部，当乳头直下，乳房根部，当第５肋间隙，距前正中线４寸。
乳根,解剖,在第五肋间隙，胸大肌下部，深层有肋间内、外肌；有肋间动脉，胸壁浅静脉；有第五肋间神经外侧皮支，深层为肋间神经干。
乳根,主治,咳嗽，气喘，呃逆，胸痛，乳痈，乳汁少。
乳根,配伍,配少泽、膻中治乳痈；配少泽、足三里治乳少。
乳根,刺灸法,斜刺或平刺0.5～0.8寸。
不容,拼音,Bùróng
不容,定位,在上腹部，当脐中上６寸，距前正中线２寸。
不容,解剖,当腹直肌及其鞘处，探层为腹横肌；有第七肋间动、静脉分支及腹壁上动、静脉；当第七肋间神经分支处。
不容,主治,呕吐，胃病，食欲不振，腹胀。
不容,配伍,配中脘治胃病。
不容,刺灸法,直刺0.5～0.8寸。
承满,拼音,Chéngmǎn
承满,定位,在上腹部，当脐中上５寸，距前正中线２寸。
承满,解剖,当腹直肌及其鞘处，深层为腹横肌；有第七肋间动、静脉分支及腹壁上动、静脉;分布；当第七肋间神经分支处。
承满,主治,胃痛，吐血，食欲不振，腹胀。
承满,配伍,配足三里治胃痛。
承满,刺灸法,直刺0.8～1寸。
梁门,拼音,Liángmén
梁门,定位,在上腹部，当脐中上４寸，距前正中线２寸。
梁门,解剖,当腹直肌及其鞘处，深层为腹横肌；有第七肋间动、静脉分支及腹壁上动、静脉；当第八肋间神经分支处（右侧深部当肝下缘，胃幽门部）。
梁门,主治,胃痛，呕吐，食欲不振，腹胀，泄泻。
梁门,配伍,配梁丘、中脘、足三里治胃痛。
梁门,刺灸法,直刺0.8～1.2寸。
关门,拼音,Guānmén
关门,定位,在上腹部，当脐中上３寸，距前正中线2寸。
关门,解剖,当腹直肌及其鞘处；有第八肋间动、静脉分支及腹壁上动、静脉分支；布有第八肋间神经分支（内部为横结肠）。
关门,主治,腹胀，腹痛，肠鸣泄泻，水肿。
关门,配伍,配足三里、水分治肠鸣腹泻。
关门,刺灸法,直刺0.8～1.2寸。
太乙,拼音,Tàiyǐ
太乙,定位,在上腹部，当脐中上２寸，距前正中线２寸。
太乙,解剖,当腹直肌及其鞘处；有第八肋间动、静脉分支及其腹壁下动、静脉分支；布有第八肋间神经分支（内部为横结肠）。
太乙,主治,胃病，心烦，癫狂。
太乙,配伍,配中脘治胃痛。
太乙,刺灸法,直刺0.8～1.2寸。
滑肉门,拼音,Huáròumén
滑肉门,定位,在上腹部，当脐中上１寸，距前正中线２寸。
滑肉门,解剖,当腹直肌及其鞘处；有第九肋间动、静脉分支及腹壁下动、静分支；布有第九肋间神经分支（内部为小肠）。
滑肉门,主治,胃痛，呕吐，癫狂。
滑肉门,配伍,配足三里治胃痛。
滑肉门,刺灸法,直刺0.8～1.2寸。
天枢,拼音,Tiānshū
天枢,定位,在腹中部，平脐中，距脐中２寸。
天枢,解剖,当腹直肌及其鞘处；有第九肋间动、静脉分支及腹壁下动、静脉分支；布有第十肋间神经分支（内部为小肠）。
天枢,主治,腹胀肠鸣，绕脐痛，便秘，泄泻，痢疾，月经不调。
天枢,配伍,配足三里治腹胀肠鸣；配气海治绕脐痛；配上巨虚，下巨虚治便秘、泄泻。
天枢,刺灸法,直刺1～1.5寸。
天枢,附注,（1）大肠的募穴；（2）《千金》孕妇不可灸。
外陵,拼音,Wàilíng
外陵,定位,在下腹部，当脐中下１寸，距前正中线２寸。
外陵,解剖,当腹直肌及其鞘处；布有第十肋间动、静脉分支及腹壁下动、静脉分支；布有第十肋间神经分支（内部为小肠）。
外陵,主治,腹痛，疝气，痛经。
外陵,配伍,配子宫、三阴交治痛经。
外陵,刺灸法,直刺1～1.5寸。
大巨,拼音,Dàjù
大巨,定位,在下腹部，当脐中下２寸，距前正中线２寸。
大巨,解剖,当腹直肌及其鞘处；有第十一肋间动、静脉分支，外侧为腹壁下动、静脉；布有第十一肋间神经（内部为小肠）。
大巨,主治,小腹胀满，小便不利，疝气，遗精，早泄。
大巨,配伍,配中极、次髎治小便不利。
大巨,刺灸法,直刺1～1.5寸。
水道,拼音,ShuǐDào
水道,定位,在下腹部，当脐中下３寸，距前正中线２寸。
水道,解剖,当腹直肌及其鞘处；有第十二肋间动、静脉分支，外侧为腹壁下动、静脉；布有第十二肋间神经（内部为小肠）。
水道,主治,小腹胀满，小便不利，痛经，不孕，疝气。
水道,配伍,配三阴交、中极治痛经、不孕。
水道,刺灸法,直刺1～1.5寸。
归来,拼音,Guīlái
归来,定位,在下腹部，当脐中下４寸，距前正中线２寸。
